komentar_id,Username,T_komentar,link,Label,
7482056543644828424,anga058,Ghea & malca joss,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7487602896151380743,wahyuz22,dindanih,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7486869956853121810,rizkymasakatpole,malca dan dindanih ganas ganas,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7482079698605130514,ragakurnia,Malca dong 🥰,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7493241397526266644,gooddayfreeze171717,"KEBALIK ITU WOY, YG PERTAMA ITU MALCA, YG SEBELAHNYA BARU NUKE",https://www.tiktok.com/@piaori/video/7480474304476384517,,
7484819802315752200,twohand_ent,Tetap ghea yang ini @bloomsghe,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7484824309275509522,geaablooms,aku ga pulen demi🙏🏻,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7484935192088494855,twohand_ent,TETAP MAUUUU!!!!!!,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7486928847540978439,vernorexieee,🗿🔥,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7487028326151357191,zahracaniaa,@zahracan,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7496802377120531208,arexa_pyz,@𝙈𝙖𝙥𝙡𝙖𝙮𝟕𝟖𝟗__🖤 Withdraw never die🖤,https://www.tiktok.com/@piaori/video/7480474304476384517,1,
7496802413501334280,arexa_pyz,b,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7496802441267151624,arexa_pyz,x,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7499101956830331655,baditt06,di bandingin dari semua vidio ini masih mahalan yupi,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7499109974233694992,aefseftohdyt23,betul,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7499110142043570952,baditt06,iya lahh,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7496803131126399751,vhcyvslfxdw_pyz,@𝙈𝙖𝙥𝙡𝙖𝙮𝟕𝟖𝟗__💚Congratulations💚,https://www.tiktok.com/@piaori/video/7480474304476384517,1,
7496803125744435976,vhcyvslfxdw_pyz,b,https://www.tiktok.com/@piaori/video/7480474304476384517,,
7496803171025601298,vhcyvslfxdw_pyz,a,https://www.tiktok.com/@piaori/video/7480474304476384517,,
