experiment_id,batch_size,conv_filters,kernel_size,lstm_units,dense_units,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,test_accuracy,test_precision,test_recall,test_f1,Unnamed: 15
1,32,64,3,64,64,0.2,0.3,0.3,0.3,0.5,77.03%,72.35%,68.38%,70.01%,precision paling tinggi
7,32,64,3,64,128,0.2,0.3,0.3,0.3,0.5,76.66%,70.3%,68.55%,69.28%,
13,32,64,3,128,64,0.2,0.3,0.3,0.3,0.5,75.78%,69.25%,70.16%,69.53%,
19,32,64,3,128,128,0.2,0.3,0.3,0.3,0.5,76.73%,70.7%,67.52%,68.95%,
3,32,64,5,64,64,0.2,0.3,0.3,0.3,0.5,76.31%,69.93%,69.32%,69.45%,
9,32,64,5,64,128,0.2,0.3,0.3,0.3,0.5,76.27%,70.58%,66.8%,68.39%,
15,32,64,5,128,64,0.2,0.3,0.3,0.3,0.5,76.57%,71.15%,68.3%,69.47%,
21,32,64,5,128,128,0.2,0.3,0.3,0.3,0.5,76.94%,70.23%,69.85%,70.0%,
5,32,64,7,64,64,0.2,0.3,0.3,0.3,0.5,77.23%,72.33%,66.52%,69.13%,akurasi paling tinggi
11,32,64,7,64,128,0.2,0.3,0.3,0.3,0.5,75.83%,70.55%,71.07%,70.58%,F1 paling tinggi
17,32,64,7,128,64,0.2,0.3,0.3,0.3,0.5,75.55%,69.41%,69.32%,69.19%,
23,32,64,7,128,128,0.2,0.3,0.3,0.3,0.5,74.45%,68.09%,70.21%,68.65%,
25,32,128,3,64,64,0.2,0.3,0.3,0.3,0.5,75.08%,66.64%,70.42%,68.28%,
31,32,128,3,64,128,0.2,0.3,0.3,0.3,0.5,75.18%,68.59%,69.7%,68.75%,
37,32,128,3,128,64,0.2,0.3,0.3,0.3,0.5,76.24%,68.94%,67.65%,68.21%,
43,32,128,3,128,128,0.2,0.3,0.3,0.3,0.5,76.85%,70.94%,69.52%,70.18%,
27,32,128,5,64,64,0.2,0.3,0.3,0.3,0.5,76.19%,70.91%,69.94%,70.3%,
33,32,128,5,64,128,0.2,0.3,0.3,0.3,0.5,74.6%,67.61%,70.11%,68.73%,
39,32,128,5,128,64,0.2,0.3,0.3,0.3,0.5,76.03%,68.68%,69.05%,68.77%,
45,32,128,5,128,128,0.2,0.3,0.3,0.3,0.5,75.9%,70.73%,69.05%,69.56%,
29,32,128,7,64,64,0.2,0.3,0.3,0.3,0.5,75.34%,69.4%,69.59%,69.36%,
35,32,128,7,64,128,0.2,0.3,0.3,0.3,0.5,76.94%,71.01%,68.87%,69.84%,
41,32,128,7,128,64,0.2,0.3,0.3,0.3,0.5,75.61%,68.9%,70.57%,69.69%,
47,32,128,7,128,128,0.2,0.3,0.3,0.3,0.5,75.96%,70.23%,70.4%,70.23%,
2,64,64,3,64,64,0.2,0.3,0.3,0.3,0.5,75.29%,67.45%,69.45%,68.37%,
8,64,64,3,64,128,0.2,0.3,0.3,0.3,0.5,75.72%,68.78%,67.82%,68.23%,
14,64,64,3,128,64,0.2,0.3,0.3,0.3,0.5,76.02%,69.34%,67.75%,68.47%,
20,64,64,3,128,128,0.2,0.3,0.3,0.3,0.5,75.81%,68.11%,70.14%,69.02%,
4,64,64,5,64,64,0.2,0.3,0.3,0.3,0.5,74.9%,68.17%,67.9%,67.93%,
10,64,64,5,64,128,0.2,0.3,0.3,0.3,0.5,75.39%,69.63%,68.23%,68.68%,
16,64,64,5,128,64,0.2,0.3,0.3,0.3,0.5,76.27%,70.18%,70.8%,70.39%,
22,64,64,5,128,128,0.2,0.3,0.3,0.3,0.5,75.08%,68.42%,68.83%,68.55%,
6,64,64,7,64,64,0.2,0.3,0.3,0.3,0.5,75.33%,69.56%,68.86%,68.9%,
12,64,64,7,64,128,0.2,0.3,0.3,0.3,0.5,75.15%,68.67%,69.78%,68.98%,
18,64,64,7,128,64,0.2,0.3,0.3,0.3,0.5,75.64%,68.96%,69.35%,69.05%,
24,64,64,7,128,128,0.2,0.3,0.3,0.3,0.5,76.85%,70.63%,68.11%,69.07%,
26,64,128,3,64,64,0.2,0.3,0.3,0.3,0.5,76.7%,69.85%,68.34%,68.99%,
32,64,128,3,64,128,0.2,0.3,0.3,0.3,0.5,74.7%,68.66%,70.39%,69.25%,
38,64,128,3,128,64,0.2,0.3,0.3,0.3,0.5,75.2%,67.22%,70.92%,68.94%,
44,64,128,3,128,128,0.2,0.3,0.3,0.3,0.5,76.4%,69.4%,69.2%,69.18%,
28,64,128,5,64,64,0.2,0.3,0.3,0.3,0.5,75.12%,67.51%,69.77%,68.53%,
34,64,128,5,64,128,0.2,0.3,0.3,0.3,0.5,74.7%,68.07%,71.14%,69.39%,recall paling tinggi
40,64,128,5,128,64,0.2,0.3,0.3,0.3,0.5,75.3%,68.51%,69.72%,68.96%,
46,64,128,5,128,128,0.2,0.3,0.3,0.3,0.5,75.77%,68.84%,69.77%,69.16%,
30,64,128,7,64,64,0.2,0.3,0.3,0.3,0.5,75.77%,69.43%,68.72%,69.04%,
36,64,128,7,64,128,0.2,0.3,0.3,0.3,0.5,76.89%,71.5%,67.19%,69.19%,
42,64,128,7,128,64,0.2,0.3,0.3,0.3,0.5,76.28%,71.0%,69.46%,69.86%,
48,64,128,7,128,128,0.2,0.3,0.3,0.3,0.5,76.25%,70.39%,68.87%,69.56%,
